1120000442,medicare geographic,reimbursement rural,costs states,congress improve,disparities introduced,discourage physicians,adjustment factors,care flaw,penalize equalize,gpcis evaluation
1120000481,inland hospital,patientcentered approach,waterville maine,computer physician,leapfrog survey,safe practices,adopting policies,congratulate employees,notforprofit community,dc based
1120000493,sebasticook valley,valley hospital,ensuring patients,dcbased leapfrog,pittsfield maine,congratulate employees,survey launched,founded 1963,errors standards,focuses critical
1120000889,stimulus trillion,spending washington,speaker bills,reduce house,rein federal,criticize proposal,author legislationmy,support res,republican transition,stop outofcontrol
1120000965,spending issues,constitution restored,pelosi speaker,presidents policies,washington hurting,read house,river missouri,talking energy,permitorium going,remind just
1120000981,provided railroad,handle spending,government subsidies,idea federal,make states,appreciate congressman,georgia talking,rebuilt years,masonry supports,concepts
1120001033,speaker congress,talk weather,consideration debate,bring truthfully,challenge mendacity,amended reconciliation,remember president,excellent words,definition mr,class diminishing
1120001062,reform medicare,entitlement medicare,collecting medicare10,entitlement spending,need repealing,baby boomers,million uninsured,floor legislation,campaign trailthey,bend cost
1120001075,blood donations,york blood,york presbyterian,pint donated,hospitals new,contributions new,care collaboration,yorks population,centers excellence,increase lifesaving
1120001079,nychsro medreview,medreviews clients,health insurers,stamm recognized,review mr,auditing organizations,claims overpayments,mpa new,factfinding humanitarian,americas largest
1120001083,dr patel,patients india,bhupendra bhupi,college india,medicine philanthropy,sinai hospital,baroda medical,earned mbbs,internship residency,asianamerican community
1120001091,care center,cardinal cooke,compassionate medical,quality health,archdiocese new,support rehabilitative,honorees devotion,patients longterm,community terence,york pleased
1120001095,insurance verizon,charged medicare,discussing healthcare,policies story,fraudulent medicine,told frontier,employment problem,condition feet,bring costs,batteries scooter
1120001096,budgeting republican,deficit rules,tax cuts,congress upgrade,tax loophole,improve transparency,heard committee,package undermines,commitments legislation,forbid eliminating
1120001097,insurance afford,assistance care,troubles tiffany,health reform,account illness,ruined credit,dependent diabetic,incarcerations illegally,county phone,noncompliance brenda
1120001098,families terrys,fresno medical,support housing,patients loved,accommodations miles,stateoftheart facility,house guest,lodging sleep,richards suffered,grand opening
1120001099,care citizens,unemployed health,marthas older,debate washington,ron martin,insurance costs,following stories,arthritis age,hes lucky,abroad italy
1120001102,uninsured story,receives medicare,financial burdens,salaried worker,fathers situation,outofpocket payments,retiree told,todd van,government change,reward preventative
1120001128,new congress,repeal obamacare,longterm reform,tax rates,spending bailouts,message promises,cuts bring,welcome 112th,permanently house,speaker rise
1120001146,repeal obamacare,veterans medicare,congress working,reform needed,democratic republican,needed unconstitutional,jobkilling mandates,lower health,house resolution,regards americans
1120001154,repeal obamacare,republicans waste,abortion time,mandate american,cost health,tax increases,commonsense reforms,create governmentrun,use savings,yes mystifying
1120001283,obamacare repeal,bills public,amendment proposed,inquiry openness,understand voting,maryland rules,uphold,page half,regarding upordown,resolution implementation
1120001285,spending 2008,cbo issue,dispute congressional,score obamacare,revenue problem,saying washington,mandates tax,baseball budget,thank democratic,whip madam
1120001315,flag marine,aclu individual,patriotism truth,fly proud,calling impeachment,thinks indignant,poe sound,debate battled,elevated level,wind weather
1120001337,grandson jean,church jean,barbara jean,harper occasion,actively pastors,jimmy moved,happy 90th,hart avondale,privilege wish,diligent employee
1120001341,military spending,deficit reduction,pentagon encouraging,thoughtful letter,increase healthcare,secretary gates,allocation weakening,reducing security,coalition experts,retirees believe
1120001502,lives gabbys,tucson community,gratifying heartening,great prayers,families touched,feeling goodwill,americans situations,heroes day,literally saved,continue reports
1120001513,gabby shot,responders remarkable,condolences families,america saturday,resolution sad,thoughts prayers,recovery act,senseless attack,district represent,saw good
1120001535,prayer following,deep condolences,gabby giffords,justice prosper,se reminder,friend yielding,recover wounds,hospital humbled,military heroes,madam speaker
1120001647,gabby working,reiterate colleagues,conversation,kind outing,thoughts prayers,smile little,today respected,iowa yielding,read prepared,represents
1120001674,gabby giffords,grief colleagues,attended wounded,prayers lost,servant remarkable,congress thoughts,madam speaker,kind caring,entire citizenry,personal safety
1120001739,time gabby,constitution read,arizona pray,giffords captured,wondered luck,just seat,providence determined,just selfish,briefly salient,little different
1120001755,giffords wounded,lives mourn,heart servant,miracles mercy,warm embrace,yielding madam,gabbys voice,swift selfishly,seek harm,judge john
1120001799,believes gabby,outstanding congresswoman,arizona discussion,madam speaker,thoughtful members,giffords days,district support,listen constituents,space program,dear friend
1120001865,served corona,miller mortuary,pat donated,tribute individual,awards installation,time volunteering,member american,president soroptimist,riverside county,organizations activities
1120001900,congress stop,congress spend,deficit saving,reducing federal,stop wasteful,bills introduced,act accomplishes,businesses quakertown,mr speaker,pages length
1120001921,repeal obamacare,health cost,legislation decreases,costs increases,protect uninsured,medicare advantage,revenue budgetary,cbo did,subtract bills,deficit 143
1120001944,1099 forms,waiver requests,privilege exemptions,realized obamacare,law employers,union members,reporting requirements,foia inquiry,troubling secretary,sebelius approved
1120001958,promises obamacare,health costs,private premiums,plans dropped,bends cost,administrations actuary,dangerous provision,law increase,false cbo,choices american
1120001960,care reform,daughter repeal,daughter medications,colleague maryland,pay premium,longer health,families told,fornia thank,epileptic attack,woman single
1120001965,care entitlements,obamacare budget,given government,repeal,existing health,debt existing,regulate,previous majority,ration things,people aisle
1120001968,socalled obamacare,policy age,repeal little,preexisting illnesses,fiscally conservative,dropping coverage,26 debate,ensures millions,children remain,cost 230
1120001978,obamacare legislation,tort reform,repeal debating,judiciary committee,addressed lawsuit,speak support,asked draft,produced health,mris orders,unnecessary tests
1120002007,obamacare legislation,tort reform,reform nonpartisan,cost republicans,repeal jobkilling,careits cost,long advocated,reduces health,wrong washington,billion say
1120002026,uninsured repeal,federal health,medicaid danger,constitution states,texas implementation,care debates,provide protection,optionaffordable accessible,mention fifth,similar iris
1120002040,repeal obamacare,obamacare speech,legislation small,businesses lose,business committee,appropriate topica,campaigned hard,employer mandate,speaker tonight,billion real
1120002044,parties obamacare,affordable health,diligently reform,reset health,care expanded,congress good,washington sent,debt deficit,bring costs,state lines
1120002062,insurance reform,mexico hospital,mexicans longer,discrimination preexisting,difficult economic,fe worry,cost cobra,resulting cancer,diabetic high,yvonne left
1120002064,repeal obamacare,congress nurse,wound care,rationing care,quality health,deficits overwhelming,unsustainable federal,rising unemployment,pathways solutions,ran
1120002080,obamacare,prevent medicare,eligible health,patient rights,businesses eligible,extending coverage,residents previously,conditions colleagues,mean small,chance does
1120002087,tax incentive,takeover health,health reform,believe medicare,private insurance,plan small,citizens buy,word government,businesses 30,welcome republican
1120002113,obamacare liberals,repeals bureaucratic,cost health,care reduced,empowering americans,replaces commonsense,foundation constitution,new debts,introduce 299,speaker residents
1120002132,spending health,reforming medical,uninsured americansnow,americans nervous,care starting,bipartisan support,veterans va,skepticism understandable,china uses,sooner unlike
1120002135,repeal obamacare,federal health,new laws,washingtonimposed mandates,unconstitutional determining,medicaid enrollees,physicians refuse,implemented cut,coverage preexisting,determining choices
1120002155,health insurance,insurance competitive,cost health,want repeal,cost competition,small businesses,democrat nation,tennessee,care grow,percent just
1120002245,unemployment constitution,nations unemployed,roosevelt,protesting unaddressed,economic rights,gov submit,resumesforamerica mail,promising job,construct democrats,capable eliminating
1120002246,rigged obamacare,obamacare increases,spending democrats,create repeal,care decisions,make health,constituents colorado,gimmicks like,800 pages,speaker rise
1120002258,instead obamacare,medicare cuts,congress passed,colleagues approval,care create,transparency accountability,promises american,taxes 500,remind,low listening
1120002273,push obamacare,americans unemployed,employer mandate,new taxes,legislate regulate,job creators,existing health,problem federal,law undermine,economic growth
