1130000289,spending congress,fiscal cliff,cuts tax,reduces deficit,flawed senate,obamacare said,debt refused,amending plan,president promised,cuts failed
1130000426,bataan veteran,military history,december 1941,japans progress,wallace survived,great defenders,congressional gold,captivity state,president annals,sacrifice mr
1130000451,record article,contributions plaque,hospital bulletin,obituary appeared,kapen physician,veterans administration,neurology john,naming sheldon,longtime chairman,sleep disorders
1130000466,help veterans,committee veterans,soldiers unappreciated,amputees lost,chairman oversight,vietnam divided,hospital located,treated like,speaker 1969,junior red
1130000754,americans volunteered,victims hurricane,respond sandy,hurt communities,respond senate,aid absolutely,rodney frelinghuysen,best appreciate,ancestors modern,prioritize repair
1130001151,cuts medicare,republicans reaching,debt ceiling,commercials 2012,agreement president,talk economists,katrina understand,leadership heartbreaking,know supercommittee,werent nearly
1130001174,carl drake,jersey carl,coaches morgan,players 1930s,fraternity did,athlete state,long jump,2110 stood,return baltimore,suffered mild
1130001184,officers columbus,jim gilbert,mentored franklin,congressman steve,officer injured,continued service,congratulate james,personnel spite,fraternal order,families tragic
1130001295,abortion passage,infant mortality,compassionate just,justice inclusion,morbidity extremism,america todayunborn,children 1973,familiesbegs reappraisal,academic african,24yearold woman
1130001398,presidents speech,president epa,sustainable energy,capandtrade agenda,economy america,climategate fraud,just stop,hesitating said,regulate c02,things winding
1130001515,going bipartisan,republican speaker,bills secretary,california spoke,idea conference,concerns gentleman,act american,speaker floor,sure pass,avoid paying
1130001643,debt limit,fiscal needs,sense congress,treasury secretary,cuts medicare,president transparent,14th amendment,stagnation longterm,2020 numbers,squeeze american
1130001742,stan musial,stan elected,elected baseball,navy player,retired 1963,president time,man youngest,read biography,medal freedom,missouri great
1130001761,honor jack,national cemeterywith,bresch splendid,sorrow memory,distinct laughter,pancreatic cancer,dear friendjohn,chaplain posts,way cared,president rise
1130001774,understanding congress,problem americans,republicans fuss,fix car,opinion polling,legislation avoided,washington right,contributor dysfunction,toxic internal,specific doctor
1130001841,william uggiano,knights columbus,wilkesbarre veterans,uss guam,115th anniversary,treasurer american,served council,patriotism marked,office information,associates degree
1130001846,roe wade,abortion remains,womans constitutional,affordable healthcare,decisions want,court affirmed,month supreme,teen pregnancies,support efforts,faith decades
1130001849,evelyn stanton,mateo county,emmett practiced,disabled hillsborough,moved san,hospital belmont,entered lowell,married 1949,died peacefully,extend family
